Player,AT14 Combat Model,AT14 Manage Model,AT14 Diff Model,AF14 Combat Model,AF14 Manage Model,AF14 Diff Model,로지스틱 회귀 - Combat Model Accuracy,로지스틱 회귀 - Manage Model Accuracy,로지스틱 회귀 - Diff Model Accuracy,로지스틱 회귀 - AF14 Combat Model Accuracy,로지스틱 회귀 - AF14 Manage Model Accuracy,로지스틱 회귀 - AF14 Diff Model Accuracy
위너팀 Mid,,,,,,,0.6842105263157895,0.6578947368421053,0.7105263157894737,1.0,0.8421052631578947,0.9473684210526315
위너팀 미드2,,,,,,,0.7037037037037037,0.6851851851851852,0.5925925925925926,0.9444444444444444,0.9074074074074074,1.0
위너팀 주지태,,,,,,,0.7428571428571429,0.6571428571428571,0.7142857142857143,0.9714285714285714,0.8857142857142857,0.9714285714285714
위너팀 판테온,,,,,,,0.6307692307692307,0.6615384615384615,0.676923076923077,0.8769230769230769,0.8615384615384616,0.9230769230769231
으 악,,,,,,,1.0,0.7692307692307693,0.8461538461538461,1.0,0.9230769230769231,1.0
이쁜 오르트구름,,,,,,,0.6935483870967742,0.6774193548387096,0.7419354838709677,0.9032258064516129,0.8870967741935484,0.9354838709677419
인스타팔로우좀요,,,,,,,0.6808510638297872,0.6595744680851063,0.6170212765957447,0.8297872340425532,0.8297872340425532,0.9148936170212766
제우스팀 에코,,,,,,,0.711864406779661,0.7288135593220338,0.711864406779661,0.8813559322033898,0.8983050847457628,0.9491525423728814
제우스팀 제리,,,,,,,0.6451612903225806,0.6612903225806451,0.5645161290322581,0.9193548387096774,0.8870967741935484,0.9193548387096774
쫀 지,,,,,,,0.6078431372549019,0.6862745098039216,0.6862745098039216,0.9019607843137255,0.8235294117647058,0.9215686274509803
쾌감절정능욕매끈야들가련청순발육,,,,,,,0.7894736842105263,0.6140350877192983,0.7017543859649122,0.8771929824561403,0.8771929824561403,0.9298245614035088
탈리얌,,,,,,,0.6964285714285714,0.6607142857142857,0.7321428571428571,0.9464285714285714,0.8928571428571429,0.9285714285714286
포뇨의 눈,,,,,,,0.7058823529411765,0.6617647058823529,0.6617647058823529,0.8823529411764706,0.9264705882352942,0.9705882352941176
황혼우주자야,,,,,,,0.7090909090909091,0.6727272727272727,0.6727272727272727,0.8909090909090909,0.8,0.9454545454545454
